Title,model_score,raw_score,time_est,release_date,genre_metacritic,developer_metacritic
Half-Life 2,1364.3223132354747,1364.3223132354747,14.490555555555556,11/16/2004,FPS,Valve Software
The Legend of Zelda: Ocarina of Time,1340.8252448357919,1340.8252448357919,30.546666666666667,11/21/1998,Open-World Action,Nintendo
Final Fantasy VII,1327.841454605231,1327.841454605231,48.14277777777778,6/24/1998,JRPG,SquareSoft
Red Dead Redemption,1327.3964565292852,1327.3964565292852,24.020833333333332,5/18/2010,Open-World Action,Rockstar San Diego
Half-Life: Alyx,1324.3749404341418,1324.3749404341418,13.458055555555555,3/23/2020,FPS,Valve Software
Baldur's Gate,1310.8359151383593,1252.1852700642505,59.64861111111111,12/21/1998,Western RPG,BioWare
Divinity: Original Sin 2,1309.5291303125725,1309.5291303125725,101.74638888888889,9/14/2017,Western RPG,Larian Studios Games
Blasphemous,1306.1398659420256,1306.1398659420256,19.191944444444445,9/10/2019,Metroidvania,The Game Kitchen
The Witcher 2: Assassin of Kings,1303.6185228761974,1282.7902014491935,33.09222222222222,5/17/2011,Action RPG,CD Projekt Red Studio
Metroid Prime 2: Echoes,1302.633535054613,1302.633535054613,18.444444444444443,11/15/2004,FPS,Retro Studios
Persona 3 Reload,1300.6284200770585,1274.3244535842252,82.72916666666667,2/2/2024,JRPG,P-Studio
Planescape: Torment,1298.4254715901784,1298.4254715901784,42.17777777777778,12/12/1999,Western RPG,Black Isle Studios
The Legend of Zelda: Majora's Mask,1297.8832112989942,1297.8832112989942,29.028333333333332,4/27/2000,Open-World Action,Nintendo
Paper Mario: The Thousand-Year Door,1291.457805993585,1291.457805993585,36.53138888888889,7/22/2004,JRPG,Intelligent Systems
Marvel's Spider-Man 2,1291.1074659271173,1291.1074659271173,25.362222222222222,,Open-World Action,Insomniac Games
Deus Ex,1290.8672134749102,1290.8672134749102,27.6775,6/26/2000,Action Adventure,Ion Storm
Final Fantasy VI,1290.3584922871394,1290.3584922871394,40.809444444444445,2/23/2022,JRPG,TOSE
The Witcher 3: Wild Hunt,1287.9972818059446,1308.8256032329482,103.3,5/19/2015,Action RPG,CD Projekt Red Studio
Castlevania: Symphony of the Night,1287.7440153901273,1287.7440153901273,11.215277777777779,3/20/1997,Metroidvania,Digital Eclipse
Metal Gear Solid,1283.0056739461616,1278.2093804515628,12.04111111111111,4/24/2000,Action Adventure,KCEJ
Persona 4 Golden,1280.9004452074337,1307.2044117002667,81.91361111111111,6/15/2012,JRPG,Atlus
Metal Gear Solid 2: Sons of Liberty,1280.5014114406167,1289.6695353968319,14.003333333333334,11/13/2001,Action Adventure,KCEJ
Subnautica,1279.4963949843388,1279.4963949843388,42.33722222222222,1/23/2018,Sandbox,Unknown Worlds Entertainment
Metal Gear Solid 3: Snake Eater,1278.3154962098083,1278.7399592427907,16.843611111111112,11/17/2004,Action Adventure,KCEJ
NieR: Automata,1275.0884884454013,1275.0884884454013,36.545,2/23/2017,Action RPG,PlatinumGames
Fallout 2,1271.9411500009355,1271.9411500009355,46.95777777777778,10/29/1998,Western RPG,Black Isle Studios
Red Dead Redemption 2,1269.7553967481094,1269.7553967481094,77.81805555555556,10/26/2018,Open-World Action,Rockstar Games
God of War Ragnarök,1268.4013623647454,1268.4013623647454,43.41777777777778,11/9/2022,Action Adventure,SCE Santa Monica
Baldur's Gate II: Shadows of Amn,1266.8479313327778,1325.4985764068863,50.02305555555556,9/21/2000,Western RPG,BioWare
The Walking Dead A Telltale Games Series,1265.0860768090927,1265.0860768090927,13.38111111111111,4/24/2012,Point-and-Click,Telltale Games
