match_key,Classic,category_igdb,last_played,matches,genre_metacritic,steamdb_flag,topCriticScore,age,Finished,numReviews,comp_lvl_combine_hltb,Genres,glicko,game_engines_igdb,age_ratings_igdb,franchise_igdb,soulslike,invested_co_hltb,Companies,similar_games_igdb,raw_score,glicko_rd,count_playing_hltb,comp_plus_hltb,genres_igdb,releaseDate_metacritic,review_score_hltb,Platforms,release_calendar_date_igdb,invested_mp_count_hltb,game_name_hltb,game_id_hltb,2nd_match,name_igdb,first_match,hasLootBoxes,Name_steamdb,Trials,developer_metacritic,count_review_hltb,comp_lvl_mp_hltb,count_retired_hltb,baseGame,dropped,comp_100_count_hltb,count_comp_hltb,themes_igdb,thumbnailUrl_metacritic,comp_100_hltb,count_speedrun_hltb,rating_count_igdb,profile_platform_hltb,userScore_metacritic,elo,title_metacritic,opencritic_flag,medianScore,Release_steamdb,aggregated_rating_count_igdb,played,comp_main_hltb,percentile,keywords_igdb,invested_co_count_hltb,release_date,firstReleaseDate,game_modes_igdb,comp_all_hltb,comp_lvl_co_hltb,metaScore_metacritic,Title,comp_main_count_hltb,id_igdb,comp_plus_count_hltb,profile_popular_hltb,involved_companies_igdb,isMajorTitle,model_score,Rating_opencritic,comp_all_count_hltb,first_release_date_igdb,numTopCriticReviews,rating_igdb,My Rating,percentRecommended,metacritic_url,hypes_igdb,genre_mc_clean,game_image_hltb,platform_metacritic,aggregated_rating_igdb,count_backlog_hltb,comp_lvl_sp_hltb,game_alias_hltb,Unnamed: 0,game_type_hltb,description_metacritic,tier,Rating_steamdb,release_world_hltb,trials,OCid,invested_mp_hltb,game_name_date_hltb,igdb_flag,metacritic_flag
,1.0,0.0,,,JRPG,1.0,,14979.0,0.0,,0.0,{},1200.0,[],,,0.0,74.0,{},"[236, 17548, 26223, 27092, 27725, 55984, 96217, 106987, 109573, 116530]",1448.6984204298851,350.0,29.0,115166.0,[31],,88.0,"[{'id': 32, 'name': 'Nintendo Switch', 'shortName': 'Switch', 'imageSrc': 'https://c.opencritic.com/images/platforms/switch.png', 'releaseDate': '2022-02-09T00:00:00.000Z'}]",12/31/1983,0.0,EarthBound,3034.0,,Earthbound,,False,,0.0,Nintendo,917.0,1.0,209.0,,,83.0,2178.0,"[17, 43]",,141116.0,4.0,4.0,"Game Boy Advance, Super Nintendo",,1000.0,,1.0,,,,0.0,100139.0,,"[1881, 4260]",1.0,12/31/1983,2022-02-09T00:00:00.000Z,[1],109326.0,1.0,,Earthbound,428.0,78559.0,319.0,247.0,[83321],False,4.064433976,,830.0,441676800.0,,91.0,,,,,JRPG,3034_EarthBound.png,SNES,,3585.0,1.0,Mother 2: Gyiyg no Gyakushu,0.0,game,,,,1994.0,0.0,12758.0,0.0,0.0,1.0,1.0
,1.0,0.0,1/1/2005,,,1.0,,13041.0,1.0,,1.0,{},968.9387124290148,[],"[15685, 49061, 96230]",24.0,0.0,1800.0,{},"[358, 843, 1068, 1078, 1079, 1103, 1185, 2180, 3349, 9061]",1061.8010973530577,100.3014378878346,8.0,4855.0,[8],,68.0,,4/21/1989,0.0,Super Mario Land,9380.0,,Super Mario Land,,,,16.0,,898.0,0.0,70.0,,,140.0,2399.0,"[1, 17, 18]",,4913.0,7.0,268.0,Game Boy,,922.2495705030078,,1.0,,,,1.0,3882.0,,"[78, 166, 226, 575, 732, 1059, 1138, 1228, 1299, 1381, 1395, 1756, 2152, 2759, 2841, 3486, 4138, 4160, 4213, 4235, 4263, 4370, 4396, 4407, 4484, 4522, 4523, 4711, 4790, 4801, 4856, 4960, 5358, 5441, 5628, 5722, 5801, 5825, 6137, 6539, 6648, 7282, 7305, 9529, 30367, 30703, 37362, 39711]",1.0,4/21/1989,,[1],4019.0,0.0,,Super Mario Land,671.0,1069.0,83.0,191.0,"[97487, 97488, 225086, 259805]",,3.250996699,,894.0,609120000.0,,74.64871445,3.0,,,,,9380_Super_Mario_Land.jpg,,,609.0,1.0,,1.0,game,,,,1989.0,0.0,,0.0,0.0,1.0,1.0
,1.0,11.0,1/1/2012,,2D Platformer,1.0,,11691.0,1.0,,0.0,{},1432.7693318282927,[],,,0.0,36900.0,{},"[43367, 51485, 55190, 56033, 57187, 81183, 87728, 110503, 117311, 200989]",1323.2451568907727,106.80217665001176,16.0,10665.0,"[8, 33]",2020-02-20T00:00:00,80.0,,12/31/1992,0.0,Sonic the Hedgehog 2,8788.0,,Sonic the Hedgehog 2,,,,14.0,M2,927.0,1.0,113.0,,,123.0,2517.0,[1],,11251.0,11.0,,"Mobile, Nintendo 3DS, Nintendo Switch, PC, Sega Mega Drive/Genesis",81.0,1070.1806293325994,,1.0,,,,1.0,8804.0,,[24797],2.0,12/31/1992,,[1],9347.0,0.0,83.0,Sonic The Hedgehog 2,460.0,202256.0,104.0,204.0,[171864],,3.594503672,,687.0,725760000.0,,,4.0,,https://www.metacritic.com/game/sonic-the-hedgehog-2/,,2D Platformer,8788_Sonic_the_Hedgehog_2.jpg,PC,,1092.0,1.0,3D Sonic the Hedgehog 2,2.0,game,"[Xbox Live Arcade]  With his new Super Spin Dash and ""Tails"" the Fox, Sonic is back and better than ever in Sonic The Hedgehog 2. Defy gravity in hair-raising loop-de-loops, bounce like a pinball and race like lightning. Play against friends at home or against others over Xbox Live in this classic game. Enhanced graphics and sound: The g...",,,1992.0,0.0,,0.0,0.0,1.0,1.0
,1.0,9.0,,,2D Platformer,1.0,,11496.0,0.0,,0.0,{},1200.0,[],,,0.0,7280.0,{},"[19164, 24426, 28070, 29032, 37001, 54775, 96217, 106987, 113636, 120184]",1163.2705758123489,350.0,13.0,7882.0,[8],,77.0,,7/14/1993,0.0,Super Mario Bros.,9371.0,,Super Mario Bros.,,,,0.0,Nintendo,2016.0,1.0,229.0,,,272.0,5444.0,"[1, 17]",,8397.0,78.0,61.0,"Arcade, Game & Watch, Game Boy Advance, NES",,1000.0,,1.0,,,,0.0,6544.0,,"[30703, 32374]",5.0,7/14/1993,,"[1, 2]",7277.0,1.0,,Super Mario Bros.,1141.0,222095.0,179.0,318.0,"[191356, 191357]",,4.288322243,,1592.0,742608000.0,,91.99841275,,,,,2D Platformer,9371_Super_Mario_Bros.png,,,1164.0,1.0,Classic NES Series: Super Mario Bros.,3.0,game,,,,1985.0,0.0,,0.0,0.0,1.0,1.0
,1.0,0.0,,,First-Person Adventure,1.0,74.22222222,11424.0,0.0,13.0,0.0,{},1200.0,[774],"[32758, 32759]",,0.0,0.0,{},"[11367, 18011, 19404, 25222, 26223, 27092, 27725, 81275, 106992, 109573]",1126.8082676129125,350.0,15.0,19993.0,"[2, 9, 15, 31, 32]",2021-08-26T00:00:00,75.0,"[{'id': 29, 'name': 'Meta Quest', 'shortName': 'Quest', 'imageSrc': 'https://c.opencritic.com/images/platforms/oculus.png', 'releaseDate': '2020-12-10T00:00:00.000Z'}, {'name': 'PC', 'shortName': 'PC', 'id': 27, 'releaseDate': '2021-08-26T00:00:00.000Z'}]",9/24/1993,0.0,Myst,97062.0,,Myst,,False,,0.0,Cyan Worlds,115.0,0.0,34.0,,,49.0,317.0,"[17, 43]",,22375.0,4.0,156.0,"Mac, Meta Quest, PC, Xbox One, Xbox Series X/S",70.0,1000.0,,1.0,76.0,,4.0,0.0,19904.0,60.0,[],0.0,9/24/1993,2020-12-10T00:00:00.000Z,[1],20374.0,0.0,78.0,Myst,72.0,236.0,60.0,120.0,"[118999, 119000, 126028, 234846, 234847]",True,2.701551343,{'value': 'E'},181.0,748828800.0,9.0,75.75041355,,53.84615385,https://www.metacritic.com/game/myst/,,FirstPerson Adventure,97062_Myst.jpg,PC,54.75,456.0,1.0,,4.0,game,"Cyan, the indie studio that created beloved classics Myst and Riven, has reimagined Myst. Built from the ground up to play in VR and flatscreen PC, explore Myst in a whole new dimension! Journey to the Ages, unravel puzzles, and be a part of the surrealistic adventure that will become your own.",Fair,,2021.0,0.0,10684.0,0.0,1.0,1.0,1.0
,1.0,0.0,8/17/2022,,Metroidvania,1.0,,11248.0,1.0,,0.0,{},1803.6924564563933,[],"[28526, 47404, 48829, 190675, 192332, 192333, 192334]",,0.0,66.0,{},"[1025, 1026, 1070, 1101, 1741, 3222, 18182, 26226, 26820, 103329]",1625.5882733819665,101.74657793763429,23.0,30961.0,"[5, 8, 31]",,89.0,,3/19/1994,0.0,Super Metroid,9390.0,,Super Metroid,,,,18.0,Nintendo,1591.0,0.0,148.0,,,218.0,4084.0,"[1, 18, 20]",,32928.0,64.0,889.0,Super Nintendo,,1160.0314534542024,,1.0,,,1.0,1.0,27420.0,,"[3, 72, 288, 382, 477, 826, 962, 1033, 1059, 1299, 1705, 2155, 3203, 3486, 3831, 4138, 4213, 4269, 4396, 4522, 4709, 4790, 4918, 4991, 5105, 5210, 5323, 5535, 6620, 10336, 26191, 27629, 30367, 30490, 37362, 40744, 42805]",1.0,3/19/1994,,[1],29707.0,0.0,,Super Metroid,752.0,1103.0,891.0,341.0,"[180279, 180281, 189879, 189880, 224839]",,4.140816679,,1861.0,764035200.0,,92.93596501,5.0,,,,Metroidvania,250px-Smetroidbox.jpg,,100.0,2728.0,1.0,,5.0,game,,,,1994.0,0.0,,0.0,0.0,1.0,1.0
,1.0,0.0,,,2D Platformer,1.0,,10636.0,0.0,,0.0,{},1200.0,[],"[28098, 41770, 68368]",,0.0,35947.0,{},"[358, 843, 1026, 1029, 1068, 1090, 1094, 1103, 1963, 3349]",1434.4355976903648,350.0,12.0,25827.0,"[8, 31]",2004-11-15T00:00:00,87.0,,11/21/1995,0.0,Donkey Kong Country 2: Diddy's Kong Quest,2687.0,,Donkey Kong Country 2: Diddy's Kong Quest,,,,0.0,Rare Ltd.,739.0,1.0,76.0,,,168.0,1993.0,"[1, 17, 27]",,35195.0,15.0,378.0,"Game Boy Advance, Super Nintendo",87.0,1000.0,,1.0,,,0.0,0.0,18335.0,,"[4, 16, 137, 488, 589, 669, 713, 962, 968, 1059, 1115, 1186, 1208, 1313, 1699, 2071, 2109, 2111, 2152, 2184, 2199, 2280, 2324, 3203, 3486, 3831, 4134, 4162, 4164, 4170, 4232, 4235, 4269, 4285, 4292, 4314, 4329, 4398, 4410, 4477, 4484, 4522, 4541, 4622, 4709, 4711, 4725, 4760, 4777, 4940, 4990, 4991, 5009, 5018, 5023, 5105, 5164, 5210, 5594, 5604, 5628, 5722, 5801, 5844, 5967, 6126, 6127, 6132, 6326, 6663, 6827, 7282, 7558, 7593, 8132, 8784, 9088, 9339, 9344, 9529, 10587, 10756, 11531, 13110, 13465, 23933, 26906, 27629, 30367, 30490, 37362, 42805]",15.0,11/21/1995,,"[1, 2]",23308.0,1.0,80.0,Donkey Kong Country 2: Diddy's Kong Quest,341.0,1092.0,126.0,199.0,"[175777, 175778, 224661, 224662, 226952, 226953]",,3.458775562,,635.0,816912000.0,,89.38524262,,,https://www.metacritic.com/game/donkey-kong-country-2-diddys-kong-quest/,,2D Platformer,2687_Donkey_Kong_Country_2_Diddys_Kong_Quest.png,PC,70.0,1441.0,1.0,,6.0,game,"Okay kid, wipe that drool off your chin and listen up if you really want to learn something about this game. Sure, it's got newfangled computer graphics and what Diddy calls stereo sound that &quot;rocks heavily and with little resistance!&quot; BUT, the game play? Well, they FINALLY added some proper challenge to the game - a snap for m...",,,1995.0,0.0,,0.0,0.0,1.0,1.0
,1.0,0.0,1/1/2016,,,1.0,,10538.0,1.0,,0.0,{},1439.1667218761963,[],"[8057, 32626, 95995, 117666]",,0.0,16200.0,{},"[1513, 17548, 19164, 37382, 55038, 81249, 96217, 103303, 106987, 115653]",1363.089066730033,92.900076283128,16.0,156333.0,"[12, 16, 31]",,81.0,,2/27/1996,3.0,Pokémon Red and Blue,7169.0,,Pokémon Red Version,,,,19.0,,1535.0,1.0,166.0,,,176.0,4661.0,"[1, 17, 35, 38]",,364977.0,32.0,529.0,Game Boy,,1047.460652979678,,1.0,,,1.0,1.0,94502.0,,"[247, 4370, 4522, 30367, 30703, 37362]",1.0,2/27/1996,,"[1, 2]",140552.0,0.0,,Pokemon Red Version,535.0,1561.0,328.0,231.0,"[148234, 224752, 224866]",,3.782771325,,1039.0,825379200.0,,85.06702797,4.0,,,,,7169_Pokmon_Red_and_Blue.png,,75.0,896.0,1.0,"Pokemon Red and Blue, Pokemon Green, Pocket Monsters Red, Pocket Monsters Green, Pocket Monsters Blue, Pokemon Blue Version, Pokemon Red Version, Pokemon Green Version",7.0,game,,,,1996.0,0.0,,7500.0,0.0,1.0,1.0
,1.0,0.0,,,JRPG,1.0,84.11538462,10527.0,0.0,106.0,0.0,{},1200.0,[],"[27825, 27826, 47149, 82571]",24.0,0.0,0.0,{},"[19164, 27092, 36198, 55038, 55199, 81249, 96217, 105049, 106987, 113360]",1328.3540345948647,350.0,74.0,51432.0,"[12, 31]",2023-11-17T00:00:00,82.0,"[{'id': 32, 'name': 'Nintendo Switch', 'shortName': 'Switch', 'imageSrc': 'https://c.opencritic.com/images/platforms/switch.png', 'releaseDate': '2023-11-17T00:00:00.000Z', 'displayRelease': '2023-11-17'}]",3/9/1996,0.0,Super Mario RPG,130456.0,,Super Mario RPG: Legend of the Seven Stars,,False,,0.0,ArtePiazza,845.0,0.0,47.0,,,89.0,1853.0,"[1, 17, 27, 35]",,72072.0,0.0,210.0,Nintendo Switch,81.0,1000.0,,1.0,80.0,,1.0,0.0,43761.0,93.0,"[87, 250, 274, 382, 3486, 4074, 4477, 5801, 6088, 24875, 25963, 27629, 28668, 30490, 38778]",0.0,3/9/1996,2023-11-17T00:00:00.000Z,[1],48727.0,1.0,84.0,Super Mario RPG,582.0,5418.0,557.0,549.0,"[162311, 224537, 226962, 254913, 254914]",True,3.946428735,,1228.0,826329600.0,69.0,86.74446447,,94.28571429,https://www.metacritic.com/game/super-mario-rpg/,,JRPG,130456_Super_Mario_RPG.png,PC,90.0,1416.0,1.0,,8.0,game,"Mario, Bowser, and Peach partner up to repair the wish-granting Star Road in this approachable role-playing adventure. Team up with an oddball group of heroes to save Star Road and stop the troublemaking Smithy Gang. This colorful RPG has updated graphics and cinematics that add even more charm to the unexpected alliance between Mario, B...",Mighty,,2023.0,0.0,15131.0,0.0,1.0,1.0,1.0
Roboquest,0.0,0.0,8/14/2024,Roboquest,FPS,1.0,81.66666667,10321.0,1.0,8.0,0.0,{},1480.3472522979907,[],[67781],,0.0,69330.0,{},[],1366.7677385455684,79.61974735745419,55.0,75364.0,[],2023-11-07T00:00:00,79.0,"[{'id': 2, 'name': 'Xbox Series X/S', 'shortName': 'XBXS', 'imageSrc': 'https://c.opencritic.com/images/platforms/xbxs.png', 'releaseDate': '2023-11-07T00:00:00.000Z', 'displayRelease': 'November 07, 2023'}, {'id': 7, 'name': 'Xbox One', 'shortName': 'XB1', 'imageSrc': 'https://c.opencritic.com/images/platforms/xb1.png', 'releaseDate': '2023-11-07T00:00:00.000Z', 'displayRelease': 'November 07, 2023'}, {'id': 27, 'name': 'PC', 'shortName': 'PC', 'imageSrc': 'https://c.opencritic.com/images/platforms/pc.png', 'releaseDate': '2023-11-07T00:00:00.000Z', 'displayRelease': 'November 07, 2023'}]",10/1/1996,0.0,Roboquest,82817.0,,RoboQuest,Roboquest,False,Roboquest,23.0,RyseUp Studios,133.0,1.0,59.0,,,22.0,303.0,[],,150722.0,2.0,,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",87.0,1046.945587015081,,1.0,82.0,11/1/2023,,1.0,30013.0,86.0,[],7.0,10/1/1996,2023-11-07T00:00:00.000Z,,63206.0,1.0,85.0,Roboquest,65.0,199912.0,65.0,376.0,[170218],False,3.684617072,{'value': 'E10+'},152.0,844128000.0,3.0,,4.0,87.5,https://www.metacritic.com/game/roboquest/,,FPS,82817_Roboquest.jpg,PC,,1687.0,1.0,,9.0,game,"Roboquest is a fast-paced FPS Roguelite, playable in solo or 2-player co-op. Jump into the steel shoes of a high-powered, hyper-mobile robot and fight like you've never fought before.Run through randomly generated environments on an unrecognizable Earth. Scorched canyons and vivid cities packed with secrets, upgrades, and enemies.Des...",Strong,0.932,2020.0,0.0,15801.0,0.0,1.0,1.0,1.0
