rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__alpha,param_rgr__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.058226823806762695,0.005887589873496741,0.008415746688842773,0.0009089333076235576,0.049999999999999996,0.2,"{'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.2)}",-0.17355080961338706,-0.22818802380890754,-0.18709453836672868,-0.37373712552104815,-0.37632449369630017,-0.2677789982012743,0.08940428197134405
2,0.05469260215759277,0.00528602531920296,0.008151865005493164,0.001482694972575184,0.06999999999999999,0.1,"{'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.1)}",-0.17706415753095586,-0.2255660304572077,-0.18619741908593646,-0.37308477650821603,-0.3781805266062556,-0.26801858203771434,0.08938029808796595
3,0.04412822723388672,0.0020991012066489075,0.007934331893920898,0.0005772730740394652,0.03,0.9,"{'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.9)}",-0.17110006392691726,-0.24587054995573265,-0.18286352327579036,-0.36182527682021903,-0.37873953189616233,-0.26807978917496433,0.08740014245142946
4,0.045076751708984376,0.0054843185955200475,0.008137273788452148,0.0009877790599612535,0.03,0.8,"{'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.8)}",-0.1708269592059619,-0.24403832012669038,-0.18335387328355698,-0.3627567134069778,-0.379827609431518,-0.26816069509094104,0.0879384427652729
5,0.05887880325317383,0.01449091721492425,0.008023357391357422,0.0006219038218336431,0.03,0.4,"{'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.4)}",-0.1730527630497554,-0.23456729625844389,-0.1906701098545445,-0.3713771542299694,-0.3723596796652548,-0.26840540061159357,0.08682118681762747
6,0.06464300155639649,0.012458056410578615,0.008147907257080079,0.000497261106754843,0.03,0.30000000000000004,"{'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.30000000000000004)}",-0.1753905457202133,-0.23280790708465077,-0.1918281230405285,-0.3694508912295641,-0.3727811679157461,-0.26845172699814057,0.08589238087274999
7,0.045892858505249025,0.005657543772073466,0.00799245834350586,0.00044706229824906875,0.03,0.7000000000000001,"{'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-0.17123030828842561,-0.24215200453938904,-0.18485767483374999,-0.364647443076423,-0.3794304690703443,-0.2684635799616664,0.08797902192668255
8,0.05095968246459961,0.00831182327234691,0.00793919563293457,0.0003915924124669886,0.049999999999999996,0.30000000000000004,"{'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.30000000000000004)}",-0.17175134925295577,-0.23199844223628815,-0.18513712571536003,-0.3746514247116923,-0.37908775296349995,-0.2685252189759592,0.09070811082081055
9,0.05625486373901367,0.015089753406373837,0.009096288681030273,0.002431310751246262,0.03,0.5,"{'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.5)}",-0.17355557314132627,-0.2357327895861002,-0.18760403846982304,-0.3715414108990026,-0.37428884368567633,-0.2685445311563857,0.08768248713969376
10,0.07121238708496094,0.013630246807229929,0.008262109756469727,0.0009480290746372802,0.03,0.2,"{'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.2)}",-0.18352565778994254,-0.23813758423833462,-0.18829398216834486,-0.3609486044135089,-0.3719588846266172,-0.2685729426473496,0.08225081043292898
11,0.04231095314025879,0.0038388893844307076,0.008261680603027344,0.0005978008771351026,0.049999999999999996,0.5,"{'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.5)}",-0.16977965187394523,-0.23971705496911228,-0.18350107248621142,-0.3651336592285727,-0.38479358931575547,-0.2685850055747194,0.09017894390530606
12,0.048070859909057614,0.008954870984763792,0.007814407348632812,0.0001873516799630474,0.03,0.6,"{'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.6)}",-0.17306426905733432,-0.23859375052504542,-0.185813817430063,-0.36867349138251376,-0.3777628845056102,-0.2687816425801134,0.08810457080054615
13,0.04661436080932617,0.009446531539368018,0.007727527618408203,0.00037572309975170446,0.049999999999999996,0.4,"{'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.4)}",-0.1707181798866788,-0.23628638405489047,-0.18411820229879547,-0.3687688566763091,-0.3840197538132073,-0.2687822753459762,0.09068356843839288
14,0.04110450744628906,0.002385762424824219,0.00772247314453125,0.0007194988058716601,0.049999999999999996,0.6,"{'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.6)}",-0.17102746740991945,-0.2425646444269229,-0.1826573066238107,-0.3650413463035337,-0.3827168379874436,-0.2688015205503261,0.089339541455105
15,0.04937005043029785,0.005119507366776107,0.007251167297363281,0.0006774292543338454,0.08999999999999998,0.1,"{'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.1)}",-0.1737375320529489,-0.22294573720391922,-0.1856812458555342,-0.37978741323700094,-0.38190195623759665,-0.2688107769174,0.09290691184232377
16,0.04051351547241211,0.0018561467551784041,0.0076844215393066405,0.0004328529429427031,0.049999999999999996,0.7000000000000001,"{'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-0.1724583552348427,-0.24512521356411685,-0.18130521803993108,-0.3646339873449016,-0.38054613408013027,-0.26881378165278447,0.08850863863113914
17,0.0677720069885254,0.015478847710061564,0.00803070068359375,0.0003653603475537854,0.049999999999999996,0.1,"{'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.1)}",-0.18534373009442193,-0.23181643595656123,-0.18397091659620352,-0.3661460218452299,-0.3767947735010986,-0.268814375598703,0.08563623581918166
18,0.04852461814880371,0.007113154322165571,0.007658672332763672,0.0004007557861191352,0.06999999999999999,0.2,"{'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.2)}",-0.17062856489589087,-0.22881610857697207,-0.18462257172738475,-0.3780788278700113,-0.3827487057141573,-0.26897895575688324,0.09300343144538341
19,0.039997005462646486,0.0022607414284418017,0.007584667205810547,0.000337433457029044,0.049999999999999996,0.8,"{'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.8)}",-0.17374371111511475,-0.2468919984620112,-0.18009847272046886,-0.36456748085516333,-0.3796193183533606,-0.2689841963012237,0.0881314717883882
20,0.040147924423217775,0.002255079090363184,0.00800623893737793,0.0010803443119626903,0.049999999999999996,0.9,"{'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.9)}",-0.17579201383010157,-0.24892667274309047,-0.17906133286420936,-0.3645115112786582,-0.37858432805691455,-0.2693751717545948,0.08753296632968062
21,0.03981571197509766,0.0017387654275611909,0.007467889785766601,0.0004383785913792887,0.06999999999999999,0.5,"{'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.5)}",-0.17132510485386146,-0.24136762797739195,-0.18162814857955634,-0.36703217944207905,-0.38572072476354324,-0.26941475712328644,0.09074243684646702
22,0.04492673873901367,0.006568133459219261,0.008292198181152344,0.001347739422165427,0.06999999999999999,0.30000000000000004,"{'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.30000000000000004)}",-0.16968190928998628,-0.23372796368217602,-0.18389594159518793,-0.3706999340435835,-0.3893145134966212,-0.26946405242151095,0.09291747140813335
23,0.03976507186889648,0.0023604510475668753,0.007547330856323242,0.0008872113380728786,0.06999999999999999,0.6,"{'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.6)}",-0.17289509176413634,-0.2438582126118022,-0.18008200298928065,-0.36711183772025974,-0.38393065929649406,-0.2695755608763946,0.09011992659568316
24,0.04086503982543945,0.0014943769846789625,0.008164358139038087,0.0014429041382723977,0.06999999999999999,0.4,"{'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.4)}",-0.16976638426504104,-0.23789805793462093,-0.1836825555975136,-0.36752111149265454,-0.38911751057959393,-0.2695971239738848,0.091898368411881
25,0.039236831665039065,0.0011584066190506407,0.006905984878540039,0.0003294086689602661,0.06999999999999999,0.7000000000000001,"{'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-0.17558218593288213,-0.246420910307284,-0.17893232194766528,-0.36699014032030813,-0.38212204407392775,-0.27000952051641347,0.08915431420100921
26,0.07615280151367188,0.019493633854300137,0.007398653030395508,0.0004979010764760083,0.01,0.8,"{'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.8)}",-0.18113165088005975,-0.23954976983638515,-0.19834867464733819,-0.3636034704884437,-0.3676677783047582,-0.270060268831397,0.08032346962366836
27,0.038965606689453126,0.0014976714178737613,0.007054567337036133,0.00022640763552025418,0.08999999999999998,0.4,"{'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.4)}",-0.1707171790585684,-0.23926161786657432,-0.1819523628472667,-0.3693607292820137,-0.39032758712035426,-0.2703238952349555,0.09263376412895265
28,0.08758664131164551,0.0221820768359742,0.007323646545410156,0.0005023330795811236,0.01,0.9,"{'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.9)}",-0.1769485423758051,-0.23999963117686396,-0.19668598189860922,-0.3677832880820739,-0.3705164902740016,-0.27038678676147077,0.08318404819535251
29,0.037743330001831055,0.002091600453354822,0.006956720352172851,0.00029902361241729275,0.08999999999999998,0.5,"{'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.5)}",-0.17283496840332108,-0.24244146138602277,-0.1801478862232425,-0.36965199073499216,-0.3875023542318235,-0.2705157321958804,0.091662327457742
30,0.07454943656921387,0.018634948645043854,0.007728052139282226,0.0006513869145793769,0.01,0.7000000000000001,"{'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-0.18809811555745903,-0.24118078255556427,-0.19745815703526198,-0.35948347085734134,-0.3670786044144895,-0.2706598260840233,0.07775622816148622
31,0.042109107971191405,0.0034795713314869823,0.007742929458618164,0.0004938190486668916,0.08999999999999998,0.30000000000000004,"{'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.30000000000000004)}",-0.16937229436858947,-0.23535805365434748,-0.1842551001198353,-0.3699435840397505,-0.39459936477389757,-0.2707056793912841,0.09401001991114498
32,0.03854455947875977,0.001894177658005971,0.007185506820678711,0.00035747487928404394,0.06999999999999999,0.8,"{'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.8)}",-0.17961814088411232,-0.24916308418268793,-0.17772043972001933,-0.3666012360467958,-0.3808978958819738,-0.27080015934311785,0.08802899023098525
33,0.04254822731018067,0.004327256660691786,0.007162570953369141,0.0005451898208413681,0.08999999999999998,0.2,"{'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.2)}",-0.1711518973681317,-0.2296476491279574,-0.18363079401758306,-0.37763743271094796,-0.3924762907895152,-0.2709088128028271,0.09533208104249355
34,0.03767976760864258,0.001811126191041461,0.007124757766723633,0.0003137649952944704,0.08999999999999998,0.6,"{'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.6)}",-0.17642567236184067,-0.24547844156044338,-0.17891896457869744,-0.3693493520140079,-0.3855529243601396,-0.2711450709750258,0.09040954902082957
35,0.038535547256469724,0.0016695428499799998,0.007620811462402344,0.0006152732606278268,0.06999999999999999,0.9,"{'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.9)}",-0.18189761344506153,-0.2511823705995496,-0.17781798492138384,-0.3662068987917711,-0.38036841284544437,-0.27149465612064205,0.08722320968806455
36,0.0745915412902832,0.01380887294406462,0.008074712753295899,0.0004481558641954021,0.01,0.6,"{'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.6)}",-0.19535395984531312,-0.24640372050478876,-0.19278139402884337,-0.355455623926013,-0.36857923217073246,-0.2717147860951381,0.07628545738751907
37,0.037678766250610354,0.002654788441222245,0.007449960708618164,0.0008072937808913203,0.08999999999999998,0.7000000000000001,"{'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.7000000000000001)}",-0.18055368756913312,-0.24906325474856675,-0.17869988939544046,-0.36872407725901574,-0.38471352192983554,-0.2723508861803984,0.08905358220827897
38,0.037709808349609374,0.0015296793681954476,0.006889867782592774,0.0003971282785747938,0.08999999999999998,0.8,"{'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.8)}",-0.1832864756946257,-0.2520841202544827,-0.18050683413621343,-0.36914104355988586,-0.384337731359765,-0.2738712410009946,0.08795040827311704
39,0.036881208419799805,0.001367341862991755,0.006900882720947266,0.00046347474352085167,0.08999999999999998,0.9,"{'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.9)}",-0.18665821711448677,-0.2543461695774704,-0.18323238639551068,-0.3702146702110803,-0.3841689787013505,-0.2757240843999797,0.08675623789006282
40,0.08811283111572266,0.02323013442403435,0.00828256607055664,0.0005116133532640649,0.01,0.5,"{'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.5)}",-0.20979883743099895,-0.2541431723072393,-0.18893424531905553,-0.35280882795509644,-0.3756682886754747,-0.276270674337573,0.0751980823914932
41,0.09863448143005371,0.027844939701380828,0.008043670654296875,0.0003640575227015388,0.03,0.1,"{'rgr__alpha': np.float64(0.03), 'rgr__l1_ratio': np.float64(0.1)}",-0.21363877142063914,-0.250900482505192,-0.1839992714761822,-0.367115911556582,-0.40246718187506747,-0.2836243237667325,0.08600982330294737
42,0.09373364448547364,0.017420249286744943,0.007998180389404298,0.0007109577970516798,0.01,0.4,"{'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.4)}",-0.22939652668409682,-0.2619078427030121,-0.18754861939820078,-0.35186091307207706,-0.3906840853235029,-0.2842795974361779,0.07584019810475892
43,0.1061631679534912,0.031674712369586716,0.007221364974975586,0.0003175877447649174,0.01,0.30000000000000004,"{'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.30000000000000004)}",-0.2474254805820992,-0.27642098909399854,-0.1904428210091275,-0.35792046189141835,-0.41592484451471406,-0.2976269194182716,0.08010994599923987
44,0.1362816333770752,0.03990555895530213,0.007419395446777344,0.0004585101180990043,0.01,0.2,"{'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.2)}",-0.2705881531320497,-0.299349568949337,-0.2028098917948159,-0.3722701153803543,-0.4576934640798654,-0.32054223866728443,0.08751191607198411
45,0.2849010944366455,0.053918842527837456,0.008220386505126954,0.0006993684363709683,0.01,0.1,"{'rgr__alpha': np.float64(0.01), 'rgr__l1_ratio': np.float64(0.1)}",-0.29577070514274373,-0.3070505096150957,-0.2186016630466481,-0.3950147535378196,-0.511083028413991,-0.3455041319512596,0.09992397513177674
