rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__C,param_rgr__epsilon,param_rgr__loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.027363348007202148,0.0007225659705085298,0.007613420486450195,0.0006202787123572362,0.1,0.1,epsilon_insensitive,"{'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'epsilon_insensitive'}",-0.7956175432471064,-0.807528984099617,-0.3384154266585299,-0.6649233982075784,-0.787566863909473,-0.6788104432244608,0.17782122356072472
2,0.02905735969543457,0.0006418289897049187,0.0075703620910644535,0.0003562521413627279,0.1,0.01,epsilon_insensitive,"{'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'epsilon_insensitive'}",-0.8345090177608021,-0.8028685722716806,-0.3648528885426857,-0.665264253446387,-0.817300797156624,-0.6969591058356359,0.1765887987693405
3,0.027552032470703126,0.0007263473503203252,0.007327508926391601,0.000620318307655347,0.1,0.0001,squared_epsilon_insensitive,"{'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.0001), 'rgr__loss': 'squared_epsilon_insensitive'}",-0.8595841520073542,-0.8354845708618882,-0.3377395240357645,-0.6881825347511465,-0.7649515221381853,-0.6971884607588678,0.18940678546864348
4,0.027446699142456055,0.0002886796887546704,0.007430171966552735,0.0004634515382777603,0.1,0.0,squared_epsilon_insensitive,"{'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-0.8598413305472506,-0.8354355087382809,-0.33786577535182905,-0.6874069998855032,-0.7655047021979723,-0.6972108633441672,0.18944327799388846
5,0.0283602237701416,0.0006608983930194114,0.007982730865478516,0.0009465621752241612,0.1,0.001,squared_epsilon_insensitive,"{'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.001), 'rgr__loss': 'squared_epsilon_insensitive'}",-0.8607447765320394,-0.8355611217665421,-0.33749563385058146,-0.687810022760047,-0.7650578748822265,-0.6973338859582873,0.18972121557865645
6,0.027459478378295897,0.0007244552687422917,0.007313203811645508,0.0003829927855175051,0.1,0.01,squared_epsilon_insensitive,"{'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-0.862285107523411,-0.8362822931674354,-0.3369732774010299,-0.6888050625875196,-0.7635600172265185,-0.6975811515811828,0.19017553425766845
7,0.028125190734863283,0.0006988201819710543,0.008011388778686523,0.0010232484831128703,0.1,0.0001,epsilon_insensitive,"{'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.0001), 'rgr__loss': 'epsilon_insensitive'}",-0.8350487939115027,-0.802141812584713,-0.3680853893627861,-0.6675738595768466,-0.8188029972680686,-0.6983305705407833,0.17549365067632372
8,0.028766679763793945,0.0005793727943285438,0.007882499694824218,0.0009234824079053573,0.1,0.0,epsilon_insensitive,"{'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'epsilon_insensitive'}",-0.8356445597654429,-0.8024948488692704,-0.36771248342427626,-0.667769129086434,-0.8182859701557754,-0.6983813982602399,0.17569116923074846
9,0.028013992309570312,0.0008700469286276521,0.0073605537414550785,0.0002640674328152606,0.1,0.001,epsilon_insensitive,"{'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.001), 'rgr__loss': 'epsilon_insensitive'}",-0.8353712684138056,-0.8024154376660982,-0.367399454757155,-0.6675500056518916,-0.8195746838516607,-0.6984621700681222,0.17594130124962631
10,0.026956605911254882,0.0007356100770759084,0.007199573516845703,0.0003166883894310633,0.1,0.1,squared_epsilon_insensitive,"{'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-0.8864921946304194,-0.8512105063016473,-0.3343467472613321,-0.7059050648123034,-0.7472227949659612,-0.7050354615943327,0.1967151950917537
11,0.028949785232543945,0.0005981379891483013,0.008048391342163086,0.0009102782084009158,1.0,0.1,squared_epsilon_insensitive,"{'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-0.9968273591438636,-0.8670759794712679,-0.3524363718284712,-0.6900955397046599,-0.7883918749614803,-0.7389654250219486,0.21778018267859126
12,0.028981781005859374,0.0005077947818162152,0.0076983928680419925,0.0004690190891516917,10.0,0.1,squared_epsilon_insensitive,"{'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.0425967895278658,-0.8813689977104132,-0.36708807035779095,-0.6939332369147676,-0.8030255899548716,-0.7576025368931418,0.2259019446311309
13,0.02881898880004883,0.0004189196291185577,0.007965946197509765,0.0009318809148634186,100.0,0.1,epsilon_insensitive,"{'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'epsilon_insensitive'}",-1.0481568520195939,-0.8830742095039648,-0.36926338110861784,-0.6946679351213979,-0.8052861419940337,-0.7600897039495216,0.22679321457113746
14,0.02977719306945801,0.0005814090272122318,0.00761561393737793,0.00040141859786340555,10.0,0.1,epsilon_insensitive,"{'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'epsilon_insensitive'}",-1.0489615405830226,-0.883718038196516,-0.3693834699352073,-0.6944617662959202,-0.8057362928521097,-0.7604522215725551,0.22705604793104214
15,0.029126691818237304,0.00038160924744227314,0.0075283050537109375,0.00039865303230733715,1.0,0.1,epsilon_insensitive,"{'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'epsilon_insensitive'}",-1.049408598548229,-0.8833682784401601,-0.36929350005226785,-0.6947889447403203,-0.8060566264040685,-0.7605831896370091,0.22715661212185195
16,0.028990745544433594,0.0004809199542946515,0.007645606994628906,0.0003521842230050961,100.0,0.1,squared_epsilon_insensitive,"{'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.0485103013077586,-0.8831907466010556,-0.36910175534285017,-0.6944787248681473,-0.8083059494526802,-0.7607174955144984,0.22708567543252142
17,0.0283782958984375,0.0005968626613618749,0.007305145263671875,0.00022407627811751955,1.0,0.01,squared_epsilon_insensitive,"{'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.0388015367032213,-0.8766587794421115,-0.3782268417938205,-0.6923911857127991,-0.8306020073007023,-0.7633360701905308,0.2220766806300699
