rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__C,param_rgr__gamma,param_rgr__shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.11768646240234375,0.002881835400675645,0.03885316848754883,0.0006834975076677534,10,auto,True,"{'rgr__C': 10, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-0.20589011641759564,-0.2536691013400149,-0.23441933940527693,-0.41539135489689044,-0.43400345287412145,-0.30867467298677986,0.09612479993483986
2,0.12148890495300294,0.0026371956949306752,0.040105581283569336,0.002057547558218664,1,0.01,True,"{'rgr__C': 1, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-0.21180806748821454,-0.28649775027463587,-0.23711307045226834,-0.4575441730405199,-0.43178202400308,-0.3249490170517438,0.10098444896703593
3,0.11995439529418946,0.0024957699423998935,0.03854355812072754,0.00046648008491845857,100,0.01,True,"{'rgr__C': 100, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-0.2288254098861227,-0.276026276517666,-0.20808455587384547,-0.4623081303988932,-0.4855525381395281,-0.33215938216321106,0.11806062414065235
3,0.12757377624511718,0.005828915431572817,0.041003179550170896,0.0008480022391020888,10,0.01,True,"{'rgr__C': 10, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-0.2288254098861227,-0.276026276517666,-0.20808455587384547,-0.4623081303988932,-0.4855525381395281,-0.33215938216321106,0.11806062414065235
5,0.12530455589294434,0.003043873259808417,0.04095640182495117,0.0007715309446745064,1,scale,True,"{'rgr__C': 1, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-0.2232095714109597,-0.3122904579495265,-0.2503249685802783,-0.473839990557188,-0.4441944077757587,-0.3407718792547422,0.10120876729508814
6,0.12151107788085938,0.0038561463150934027,0.03957939147949219,0.0012685028270522395,100,scale,True,"{'rgr__C': 100, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-0.23025011251905625,-0.2953266559724269,-0.2264537365833476,-0.4782048022983396,-0.4802084476782262,-0.34208875101027936,0.11460424178826527
6,0.12344932556152344,0.005398591719324639,0.040111446380615236,0.0020723345451951693,10,scale,True,"{'rgr__C': 10, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-0.23025011251905625,-0.2953266559724269,-0.2264537365833476,-0.4782048022983396,-0.4802084476782262,-0.34208875101027936,0.11460424178826527
8,0.12123374938964844,0.002892820789949388,0.03926515579223633,0.0007696052760985095,100,auto,True,"{'rgr__C': 100, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-0.29732436060465084,-0.28975707431039033,-0.21415717878227308,-0.4422466588511441,-0.550495985405902,-0.35879625159087203,0.12097803203935618
9,0.12918977737426757,0.002724390379114521,0.04215536117553711,0.0008776157338162512,1,auto,True,"{'rgr__C': 1, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-0.3031478972031306,-0.4980729746788576,-0.3487395287418095,-0.5817644296024298,-0.5978670675404961,-0.46591837955334475,0.12007480548660056
10,0.12652101516723632,0.004434175014974756,0.04203677177429199,0.0013705561313701168,10,0.1,True,"{'rgr__C': 10, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-0.5213200598216844,-0.7572942516194663,-0.6050784568493609,-0.8687962359556113,-0.9251316819599182,-0.7355241372412082,0.15302671237799167
10,0.12446150779724122,0.004033174265239675,0.04130845069885254,0.0016787956021397242,100,0.1,True,"{'rgr__C': 100, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-0.5213200598216844,-0.7572942516194663,-0.6050784568493609,-0.8687962359556113,-0.9251316819599182,-0.7355241372412082,0.15302671237799167
12,0.12698874473571778,0.004908329780514283,0.041501617431640624,0.0017499371345804226,1,0.1,True,"{'rgr__C': 1, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-0.5209535983671562,-0.7790085705728338,-0.614008112783569,-0.872235744632096,-0.9295239653058933,-0.7431459983323097,0.1540993766028472
13,0.12720232009887694,0.00402609426094546,0.04095768928527832,0.0015450375439289802,10,10,True,"{'rgr__C': 10, 'rgr__gamma': 10, 'rgr__shrinking': True}",-0.554238130005752,-0.8052868106139507,-0.6199730390892463,-0.9137482928829149,-0.9685637096774202,-0.7723619964538567,0.16147424309666691
13,0.12683558464050293,0.003977965272314166,0.04109621047973633,0.0013887615487807332,100,10,True,"{'rgr__C': 100, 'rgr__gamma': 10, 'rgr__shrinking': True}",-0.554238130005752,-0.8052868106139507,-0.6199730390892463,-0.9137482928829149,-0.9685637096774202,-0.7723619964538567,0.16147424309666691
