rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__subsample,param_rgr__n_estimators,param_rgr__min_child_weight,param_rgr__max_depth,param_rgr__learning_rate,param_rgr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.7470276355743408,0.01079262982700187,0.03188691139221191,0.002270591499804549,0.6,900,0.0,10,0.05,1.0,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 0, 'rgr__max_depth': 10, 'rgr__learning_rate': 0.05, 'rgr__gamma': 1}",-0.17033937814719574,-0.27518848442905014,-0.19912135475223086,-0.3961411337646228,-0.37852903895612516,-0.2838638780098449,0.09133678845648399
2,0.7822600841522217,0.0044736020812769246,0.030268335342407228,0.0013131112070193646,0.7,1000,0.1,5,0.05,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 5, 'rgr__learning_rate': 0.05, 'rgr__gamma': 1}",-0.17616468165683494,-0.2787830586962444,-0.20896048956441493,-0.3913026138343971,-0.37444951634080076,-0.28593207201853843,0.08598011620799927
3,0.3794221878051758,0.004306066281082276,0.021057987213134767,0.000641089029849438,0.7,400,1.0,6,0.1,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 400, 'rgr__min_child_weight': 1, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.1, 'rgr__gamma': 1}",-0.17621244362041283,-0.2773464653402247,-0.2127087483287323,-0.38916048375307927,-0.3796831206267886,-0.28702225233384754,0.0859222744913361
4,0.634546947479248,0.017452518500909463,0.025667858123779298,0.0013193881971121722,0.7,700,0.1,7,0.05,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 700, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 7, 'rgr__learning_rate': 0.05, 'rgr__gamma': 1}",-0.1788620053741258,-0.28438799871369264,-0.2092700050560277,-0.394820440000282,-0.37139690942118025,-0.28774747171306164,0.08542586561259699
5,0.37753891944885254,0.018609060689726252,0.021361923217773436,0.002982978324675937,0.7,300,0.0,6,0.05,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 300, 'rgr__min_child_weight': 0, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.05, 'rgr__gamma': 1}",-0.1854462219186028,-0.28065067095020124,-0.2113825197026932,-0.39224860508362885,-0.3724987710226548,-0.2884453577355562,0.08300403673559163
6,0.3160196304321289,0.008746688248070204,0.019565868377685546,0.0026540033609557204,0.7,200,0.0,7,0.05,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 200, 'rgr__min_child_weight': 0, 'rgr__max_depth': 7, 'rgr__learning_rate': 0.05, 'rgr__gamma': 1}",-0.18022327848064038,-0.2887335420818046,-0.2090234961345382,-0.39338043286064467,-0.37643481364413983,-0.2895591126403535,0.08575225440920223
7,0.3230700969696045,0.008412104424755469,0.018517303466796874,0.0015534286699420054,0.6,200,0.1,6,0.05,1.0,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 200, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.05, 'rgr__gamma': 1}",-0.17934657367978038,-0.2749517810621138,-0.19998946201969608,-0.4112066717398039,-0.3827204232713565,-0.28964298235455016,0.09365898083470142
8,1.1569022178649901,0.03404276546340052,0.03389849662780762,0.0024066770684679417,0.5,900,0.1,10,0.01,1.0,"{'rgr__subsample': 0.5, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 10, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1}",-0.1709128748141479,-0.2820634220506195,-0.2041343643582417,-0.4072631883373365,-0.38458737834964524,-0.2897922455819982,0.09414334996307087
9,1.141490364074707,0.03043830906624622,0.03247480392456055,0.0011135442727877303,0.7,900,0.0,6,0.01,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 0, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1}",-0.18024652594753235,-0.2853820937352869,-0.20273579295852256,-0.39987470489041066,-0.3813329336379503,-0.28991441023394054,0.08955033318649573
10,1.0881821632385253,0.023569115376002155,0.03113532066345215,0.002310997458606832,0.6,800,1.0,7,0.01,1.0,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 800, 'rgr__min_child_weight': 1, 'rgr__max_depth': 7, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1}",-0.17394384869825258,-0.2875153008558346,-0.20191904995650775,-0.40319145196390455,-0.3833415611129973,-0.2899822425174994,0.09247530264610403
