rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__alpha,param_rgr__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.04490761756896973,0.007625282334809478,0.02170219421386719,0.01323437263033966,,0.08999999999999998,0.1,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.1)}",-24989.486578766755,-35005.37898611777,-32409.221385946825,-39937.629848628494,-41830.79067448816,-34834.5014947896,5963.647922233924
2,0.040405893325805665,0.0014602473271092277,0.015000200271606446,0.0015488974849300248,,0.08999999999999998,0.2,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.2)}",-25000.12657681869,-35152.56414353773,-33008.89333054272,-39825.70113762493,-41840.370042915405,-34965.53104628789,5900.1248006552805
3,0.040475082397460935,0.002461629769748746,0.01370086669921875,0.0008732629338873219,,0.06999999999999999,0.1,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.1)}",-25015.508920620716,-35313.87145522043,-33655.52755393523,-39696.17355832632,-41834.85578495462,-35103.18745461146,5836.30439576174
4,0.040103912353515625,0.0007984100490562091,0.014942789077758789,0.0025622571117750524,,0.08999999999999998,0.30000000000000004,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.30000000000000004)}",-25021.438881515256,-35332.18382776726,-33629.22134037748,-39706.45702973194,-41829.80808682797,-35103.82183324399,5836.166269645945
5,0.04200458526611328,0.0029516032554203235,0.01430206298828125,0.0008741516252244583,,0.06999999999999999,0.2,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.2)}",-25044.033019936433,-35479.65274451476,-34175.876606259735,-39603.47602461788,-41804.9793458636,-35221.603548238476,5784.197772819476
6,0.04030613899230957,0.001806137212767971,0.013201618194580078,0.00040118774713340555,,0.08999999999999998,0.4,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.4)}",-25053.85803949905,-35549.79599175228,-34301.89377757639,-39585.048405631314,-41783.16211916407,-35254.751666724624,5769.31248914671
7,0.03960404396057129,0.0013918229055678824,0.014402055740356445,0.0014975104060908516,,0.06999999999999999,0.30000000000000004,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.06999999999999999), 'rgr__l1_ratio': np.float64(0.30000000000000004)}",-25082.48557828258,-35672.01224201909,-34719.209313571635,-39512.58302162082,-41753.60763470724,-35347.97955804027,5731.609004712522
8,0.03822546005249024,0.001290247323675069,0.013201665878295899,0.0009820125652356274,3,0.08999999999999998,0.1,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.1)}",-25678.968598899228,-36269.02186838962,-32470.77829712668,-40542.17489214093,-42054.15891634274,-35403.02051457984,5908.531766543652
9,0.03860325813293457,0.0010200964676196475,0.013714599609375,0.0008752183917878796,,0.08999999999999998,0.5,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.08999999999999998), 'rgr__l1_ratio': np.float64(0.5)}",-25109.987009165798,-35815.728856273134,-35012.2090990219,-39472.621959262004,-41708.30620692479,-35423.770626129524,5702.380752394778
10,0.05300064086914062,0.02037771219181481,0.013829374313354492,0.0007229915096499758,,0.049999999999999996,0.1,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': np.float64(0.049999999999999996), 'rgr__l1_ratio': np.float64(0.1)}",-25114.753797350088,-35785.01214671165,-35057.6693119447,-39458.36266107727,-41725.94177715815,-35428.34793884837,5701.500555658319
