rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__C,param_rgr__epsilon,param_rgr__loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.06998867988586426,0.003010864203530345,0.02083611488342285,0.0009259158200136603,2,0.1,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-44210.45761324992,-32289.008561612987,-39822.75813898846,-34262.503977402346,-28003.384154482785,-35717.622489147296,5698.466874170642
2,0.07138257026672364,0.0047496699648164106,0.020598888397216797,0.0007092588639732055,2,0.1,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-44210.74778079911,-32287.998840170934,-39819.44624258006,-34274.597233636254,-28002.72587720825,-35719.103194878924,5697.760864691371
3,0.0688084602355957,0.0026532239709211704,0.020897054672241212,0.000770657210901789,2,0.1,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-44226.03160634756,-32286.975868891775,-39823.31945107308,-34263.41178534861,-28002.660382864597,-35720.47981890512,5703.585499186416
4,0.06998701095581054,0.004142060971484062,0.029717254638671874,0.018850072813102022,2,0.1,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-44211.39585094748,-32309.96076382135,-39842.25966176896,-34270.87033807449,-27996.2855865062,-35726.15444022369,5700.5394050287105
5,0.07147583961486817,0.005457323769985205,0.02335066795349121,0.0027173664247026716,,0.1,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-43630.960288335824,-33727.888979392716,-40003.418699065536,-33926.96467177964,-27743.24756777228,-35806.4960412692,5508.277806739175
6,0.06933159828186035,0.0032487041267936917,0.02102971076965332,0.0003089439318765969,,0.1,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-43631.024793792385,-33727.96254674305,-40000.83469317213,-33934.74565502421,-27743.312655288326,-35807.576068804025,5507.347790104505
7,0.06801671981811523,0.001083034721234164,0.020945215225219728,0.0004910467249324879,,0.1,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-43621.70103661958,-33728.56804333638,-39994.95980890516,-33944.79353164292,-27757.858763599048,-35809.57623682062,5498.816116957705
8,0.06876134872436523,0.0015918285926740752,0.02148447036743164,0.0009991481283016016,,0.1,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-43651.1531128272,-33735.72039582071,-40028.109596312745,-33925.71128793738,-27740.613679155747,-35816.26161441075,5518.04512645519
9,0.06989293098449707,0.00652340950676742,0.0214630126953125,0.0012997041056207472,3,0.1,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-44891.76173443092,-32571.234775354886,-40467.11115953185,-36172.93457173934,-28255.497265129667,-36471.707901237336,5825.28329054146
10,0.06661009788513184,0.0011383046513423812,0.020600175857543944,0.0006329501952157415,3,0.1,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-44891.812349019994,-32570.88618605494,-40465.466860741435,-36177.613711679056,-28255.47154485937,-36472.25013047096,5825.078701235949
11,0.06858491897583008,0.002908997618866248,0.02053098678588867,0.0005724844526312772,3,0.1,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-44891.28642149743,-32561.117424911205,-40470.022182781664,-36178.4535928813,-28277.992290541766,-36475.77438252267,5820.505619674886
12,0.06859765052795411,0.001084438865988664,0.020754194259643553,0.0009875272748981398,3,0.1,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-44882.87321242735,-32596.013174219148,-40511.88795869279,-36182.78183933883,-28241.448931003488,-36483.00102313632,5829.43856163201
13,0.0698481559753418,0.0022466710806138077,0.021856927871704103,0.001520293358582073,3,1.0,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-41682.60019125994,-34537.44857652667,-40040.96061253005,-41175.11861388415,-29573.986374312044,-37402.022873702575,4669.20822764207
14,0.0697145938873291,0.002948705164854752,0.020619773864746095,0.00024265982963231868,3,1.0,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-41674.24240924916,-34568.78058421007,-40059.4508253996,-41168.306902002456,-29584.22377761207,-37411.00089969467,4661.405796822284
15,0.06855626106262207,0.0010055834132105582,0.020557975769042967,0.0008371486780086981,3,1.0,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-41684.70392198831,-34576.670935173155,-40075.877866902745,-41167.767201457274,-29579.580188276188,-37416.92002275953,4665.700405000444
16,0.0715907096862793,0.004912643920591951,0.02114896774291992,0.0006952226145348697,3,1.0,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-41678.32746157775,-34577.67588997884,-40071.839300695014,-41192.35327748115,-29578.257226265705,-37419.69063119969,4668.361367635049
17,0.06782798767089844,0.002194857796121701,0.02091813087463379,0.001607601542314194,4,1.0,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-44045.2101194732,-35153.88181899054,-40273.18877144734,-38904.97096322324,-29117.6771609211,-37498.985766811085,5065.015230620705
18,0.06700263023376465,0.0010112683442669447,0.020655727386474608,0.0006635016703997238,4,1.0,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-44083.86829791814,-35222.78370595417,-40293.968966722336,-38865.13185424822,-29273.14642373837,-37547.779849716244,5017.421420924183
19,0.06589293479919434,0.0009688335559047642,0.01973567008972168,0.0005219078781930329,4,1.0,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-44079.116997475874,-35225.17658959828,-40310.66589313544,-38867.951931859156,-29275.308133536662,-37551.643909121085,5017.229476458523
20,0.07205462455749512,0.005572178020077194,0.019867563247680665,0.000896712220276213,4,1.0,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-44083.9433752768,-35184.62739306548,-40447.30306758926,-38868.11645753622,-29274.99896357184,-37571.79785140792,5037.707138834231
21,0.06851320266723633,0.0030633176872858336,0.02117619514465332,0.0018167540007009136,4,0.1,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-47852.65325305992,-34864.070202821065,-42219.104280450614,-34811.5237980857,-28599.61338253728,-37669.39298339091,6673.781788431113
22,0.06975283622741699,0.006229412881628333,0.022002696990966797,0.0024433641713244186,4,0.1,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-47851.24067013511,-34846.46109217771,-42238.47050683035,-34812.269061755076,-28603.19060093831,-37670.326386367306,6676.4453803001115
23,0.0723464012145996,0.010081757117319953,0.02174515724182129,0.0015585928661139385,4,0.1,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-47852.27249315459,-34864.826184854224,-42232.20752553694,-34811.58689542901,-28599.747777589535,-37672.128175312864,6675.348514841338
24,0.07514591217041015,0.005604420956149326,0.022332143783569337,0.0017812496039897516,4,0.1,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-47839.68909254382,-34861.2907621146,-42300.9414368471,-34817.23826754053,-28605.290827183402,-37684.89007724589,6679.268458917093
25,0.06952824592590331,0.0024441002793555927,0.0213015079498291,0.000861248762933318,2,1.0,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-41592.74839471258,-37081.03116161268,-39998.777437230194,-40702.85905381483,-29634.29225933753,-37801.94166134157,4355.268844437168
26,0.06898813247680664,0.001007712675314199,0.021046257019042967,0.00019081552707163305,2,1.0,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-41631.089546278454,-37048.85510796351,-40058.05179852081,-40652.80171419718,-29623.918547268684,-37802.94334284573,4366.394528924923
27,0.06880722045898438,0.0015909210595984285,0.02044534683227539,0.00036334375065859303,2,1.0,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-41590.28375249244,-37067.90675116806,-40041.48020507615,-40708.45255220303,-29607.977095805672,-37803.22007134907,4370.234058402479
28,0.06878428459167481,0.0014006619701149542,0.021077823638916016,0.0007383553007605344,2,1.0,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-41593.96882149442,-37166.69886980218,-40011.48450591619,-40713.40795751459,-29634.319825009035,-37823.97599594728,4355.441145627626
29,0.06807985305786132,0.0010577986030961034,0.02808995246887207,0.016436397069966597,5,1.0,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-44979.819491024144,-34829.71463075309,-44213.55522617294,-39360.926899091406,-28508.551723804918,-38378.5135941693,6141.664394900537
30,0.06574153900146484,0.0017976407027367016,0.019346189498901368,0.0004182646220041686,5,1.0,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-44881.00540320854,-34872.088953268525,-44405.859610031875,-39363.17174158989,-28514.965811851675,-38407.418303990096,6150.792836601938
31,0.0664431095123291,0.00041255835741528654,0.021409130096435545,0.0026458388293074966,5,1.0,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-44887.13079333305,-34869.54031907795,-44399.549370286404,-39380.80735486891,-28500.340269919998,-38407.473621497265,6156.4043190578595
32,0.06610488891601562,0.0009786545126553273,0.01972789764404297,0.0002739406192172646,5,1.0,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-44883.07759190967,-34885.64526344928,-44399.83984608946,-39382.50165552872,-28510.95937730993,-38412.40474685741,6150.3939224633195
33,0.06518974304199218,0.0010250283208602007,0.01996579170227051,0.0009393852082452403,5,0.1,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-49336.90407811874,-34493.306609555,-47716.28579091129,-35470.0916172596,-29918.971665144254,-39387.11195219778,7711.180969421904
34,0.0664400577545166,0.0010790197103008321,0.019870710372924805,0.0005193808171530555,5,0.1,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-49337.04250342574,-34506.176484337106,-47719.506606293566,-35470.03198559695,-29918.76392830204,-39390.30430159108,7710.337586619234
35,0.06584744453430176,0.0011469268661641887,0.019346904754638673,0.0005724542669120965,5,0.1,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-49339.11567937744,-34500.643441999615,-47722.622787080254,-35470.414066052545,-29921.08413144072,-39390.77602119012,7711.638366431256
36,0.06531238555908203,0.0009859067717042618,0.020394372940063476,0.0006136755545293353,5,0.1,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': np.float64(0.1), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-49309.74513902928,-34531.77733197166,-47763.53405471043,-35487.899384997225,-29938.723401495186,-39406.33586244076,7702.875150615852
37,0.07393851280212402,0.004127980574622737,0.021181917190551756,0.0013422603382070638,,1.0,1.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(1.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-44071.93441628065,-41646.484366866,-42347.520726234296,-41247.25158778219,-31114.178781074363,-40085.4739756475,4588.66735504534
38,0.07250943183898925,0.00330916694776307,0.021831655502319337,0.0011958825395475643,,1.0,0.01,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-44136.99720687614,-41661.943148777646,-42370.66468519465,-41295.95275381162,-31305.38076563952,-40154.18771205991,4531.0899326093895
39,0.07032885551452636,0.002428344231164945,0.021108627319335938,0.0003478832473316498,,1.0,0.0,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-44108.93436784747,-41659.24752976792,-42421.007906561936,-41296.1155110545,-31291.68418710635,-40155.39790046764,4536.334654006367
40,0.0705479621887207,0.0020519831476581646,0.022122526168823244,0.0007783862166249449,,1.0,0.1,squared_epsilon_insensitive,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': np.float64(1.0), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-44215.02164893426,-41650.804541361795,-42400.05282972071,-41290.22123913455,-31284.690152322095,-40168.15808229468,4554.815640702834
