rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__C,param_rgr__gamma,param_rgr__shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.038808679580688475,0.0006819661222427913,0.014200592041015625,0.000400472294114926,,1000,auto,True,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': 1000, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-24563.17449414802,-31989.609661152845,-24406.235723931197,-42190.97201735026,-43831.57573754394,-33396.31352682525,8331.450956583843
2,0.03980274200439453,0.0006806524222151617,0.014110469818115234,0.0006695209494337539,2,1000,auto,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 1000, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-24300.868779186367,-34260.2519873827,-25823.120123712382,-43591.36565256707,-43818.02191941271,-34358.725692452244,8351.606682859543
3,0.04265661239624023,0.0012604896424015823,0.015400314331054687,0.0018551557636798607,3,1000,auto,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 1000, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-24002.651679069073,-35500.76842279546,-26657.14751710106,-43326.139320118236,-43585.728165627064,-34614.48702094218,8162.007712364832
4,0.044002723693847653,0.003960154274382228,0.015260839462280273,0.002480068999529171,4,1000,auto,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 1000, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-24073.479498055684,-36403.69567787075,-26792.59765315115,-43207.05434712096,-43678.40226676419,-34831.04588859255,8139.389960188785
5,0.04000511169433594,0.001140403069666463,0.01420135498046875,0.0003994959639734184,,1000,0.01,True,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': 1000, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-22687.774402189352,-35135.12438568186,-29226.73717243489,-46361.21116914842,-42357.37424387412,-35153.64427466573,8579.391162848935
6,0.039005613327026366,0.0013829865742610169,0.013599395751953125,0.0004903703011415739,5,1000,auto,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 1000, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-24029.625737525406,-36887.55927792329,-26843.13315202857,-44576.45922572152,-43878.24467756174,-35243.00441415211,8493.326938156188
7,0.040307044982910156,0.0010308128333608186,0.01399998664855957,3.5040231839893024e-07,2,1000,0.01,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 1000, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-22949.750591417538,-36134.37828244126,-29236.115760882534,-48147.85276669498,-42671.63494960591,-35827.946470208444,9033.385022301592
8,0.04086437225341797,0.0029359942622870097,0.014000415802001953,0.0006315054613070351,3,1000,0.01,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 1000, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-23180.90759860031,-36496.00627913279,-29628.53163165922,-47675.852221526424,-42666.12527206332,-35929.48460059641,8785.313318571274
9,0.03930215835571289,0.0004016131461531352,0.014502620697021485,0.0004478874493511928,4,1000,0.01,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 1000, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-23546.733883313434,-37463.34459957546,-29456.720906305978,-47498.70860853647,-42954.63670440803,-36184.028940427874,8723.045956405924
10,0.04080462455749512,0.0034171348817473137,0.013813352584838868,0.00040750366838307597,5,1000,0.01,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 1000, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-23487.573141550347,-37819.96161418273,-29336.260136358764,-48274.935124763564,-43198.73651889402,-36423.49330714989,9009.746078719878
11,0.039003419876098636,0.000838455785483237,0.014103460311889648,0.0002032343180088221,,1000,scale,True,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': 1000, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-22626.830739780788,-35224.15888864025,-29736.21093437978,-46674.519515562846,-49028.467162420115,-36658.037448156756,10001.998760504217
12,0.04311823844909668,0.003365815956149969,0.01450333595275879,0.000775379617289584,2,1000,scale,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 1000, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-22855.91865566445,-36215.75888811105,-29703.424941381738,-48297.88417336411,-49135.88766076757,-37241.77486385778,10281.437248443064
13,0.044034814834594725,0.004185328959130053,0.016654539108276366,0.001004520275534948,3,1000,scale,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 1000, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-23097.5595018941,-36577.90603637557,-30131.215849612156,-47713.33172623548,-49089.79170475791,-37321.96096377504,10010.558991903945
14,0.039720344543457034,0.00037160095653511596,0.014583396911621093,0.0009720103352778242,3,100,auto,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 100, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-27119.56537686401,-35056.376713163,-30802.99706725656,-48691.06803667853,-45688.07349865564,-37471.61613852355,8376.814301598666
15,0.0410057544708252,0.0020306320559972703,0.014103126525878907,0.00048790665409921823,4,1000,scale,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 1000, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-23479.920780808843,-37575.414519862476,-30007.607226621567,-47490.74533902749,-49674.08349182652,-37645.55427162938,10006.214361066724
16,0.037903118133544925,0.0005881666874996211,0.01399993896484375,1.877309769156411e-06,4,100,auto,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 100, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-27082.96586774091,-35356.631688740265,-30910.85253297214,-49014.32784380844,-46071.417010059384,-37687.23898866423,8513.508503939613
17,0.04032254219055176,0.0019770226721422647,0.014490938186645508,0.0011041264697257513,2,100,auto,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 100, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-27169.944859771032,-36201.72645739733,-30697.35797152135,-48941.16128647374,-45494.00286118551,-37700.838687269796,8357.919171605376
18,0.03780975341796875,0.0007391377192034927,0.014301300048828125,0.00040043037391880733,,100,0.01,True,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': 100, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-26982.6689136485,-33347.06328242738,-31657.747039090904,-49171.907785171075,-47856.72162178271,-37803.22172842411,9000.316141481317
19,0.03820018768310547,0.0005128887028552704,0.013901519775390624,0.0006639844578412375,2,100,0.01,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 100, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-26968.486575411203,-33252.378286866864,-31920.379444217047,-49463.74633865148,-47475.395074763896,-37816.0771439821,8969.140876641093
20,0.03749756813049317,0.0008333855649715506,0.013800811767578126,0.0007483805602904658,5,100,auto,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 100, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-27184.618695721158,-35586.15953506033,-30964.718504439305,-49462.29717218723,-46244.07001181433,-37888.37278384447,8620.683591400368
21,0.040314674377441406,0.003178830585964605,0.015300512313842773,0.002599571473963075,3,100,0.01,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 100, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-26967.099440143982,-33695.29887213383,-31696.61742099215,-49262.730916605666,-47918.10167359392,-37907.96966469391,9001.81625113279
22,0.03980412483215332,0.0015063271080244139,0.014702987670898438,0.0011689287224757195,5,1000,scale,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 1000, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-23406.86684927913,-37933.84819477105,-29858.88016713181,-48670.336660263245,-50244.36905340559,-38022.860184970166,10421.322261289048
23,0.037703752517700195,0.00040097670145058223,0.013872051239013672,0.00028667954385244525,4,100,0.01,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 100, 'rgr__gamma': 0.01, 'rgr__shrinking': True}",-27005.25802162282,-34206.06581116716,-31854.478576206515,-49437.401599669254,-47667.77923791827,-38034.1966493168,8914.258074138383
