rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,0.05559186935424805,0.0028859155782600676,0.015304470062255859,0.0023999884255170812,,50.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 50}",-24754.338902435204,-34934.0824203122,-24463.546942990542,-40182.926867383634,-40891.883588059296,-33045.35574423618,7189.834654162299
2,0.055148649215698245,0.0013614367370190174,0.014303827285766601,0.0008752187580928134,,40.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 40}",-24640.72753450367,-35009.36523453177,-24704.748092907674,-39739.15910719124,-41154.246324343796,-33049.64925869563,7136.131477851802
3,0.05416860580444336,0.0016737175299160005,0.013400125503540038,0.000491110360858767,,60.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 60}",-24884.478550479034,-34963.58348049578,-24312.94772118867,-40622.22634873663,-40670.02490615859,-33090.65220141174,7239.734155915893
4,0.058765506744384764,0.004497788358939033,0.01410207748413086,0.0008000968827311306,,30.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 30}",-24552.864118365513,-35252.16164749664,-25092.82085168497,-39294.43611126936,-41434.91596313257,-33125.43973838981,7065.9589072810695
5,0.06105127334594727,0.004896613447484724,0.01562047004699707,0.0026848441128668322,,25.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 25}",-24526.4137069157,-35470.90733524791,-25373.847959631566,-39074.69370437695,-41565.58128985234,-33202.2887992049,7016.148876872417
6,0.05493927001953125,0.0036679616840250167,0.013902616500854493,0.0011128202174257823,,80.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 80}",-25181.59215276588,-35207.96184479728,-24174.114986931258,-41482.28440485921,-40368.49307277179,-33282.88929242508,7344.964944330829
7,0.05634984970092773,0.004589531728993341,0.015707635879516603,0.0010713118441805954,,20.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 20}",-24523.2596625967,-35787.56313142966,-25742.975241006883,-38861.53672516292,-41670.89930097379,-33317.24681223399,6947.358103348402
8,0.05400018692016602,0.0012144681781406266,0.01341867446899414,0.00036442368335385517,3,50.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 50}",-25071.690549797935,-35777.552361077294,-24597.290748941632,-40524.846896845425,-40939.321978477325,-33382.14050702793,7212.550285132865
9,0.0550804615020752,0.0030176884281063964,0.013210010528564454,0.00039717854481478084,3,60.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 60}",-25144.04673184009,-35734.82192669304,-24427.821853406458,-40954.198524464635,-40683.58940780234,-33388.89568884131,7269.499459652779
10,0.05811996459960937,0.002299129552473753,0.014380598068237304,0.001383195356311555,3,40.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 40}",-25031.504928592065,-35950.37327850846,-24865.255206335376,-40088.86096446398,-41256.040141414254,-33438.40690386282,7153.025018368309
11,0.0588409423828125,0.007027274209159762,0.014653205871582031,0.001607322470777113,,15.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 15}",-24568.920062171062,-36248.55961329579,-26238.281531375185,-38666.91758055006,-41721.397548769666,-33488.81526723235,6846.007790956357
12,0.0525813102722168,0.0010433221429939242,0.013400936126708984,0.0004891818605241092,4,60.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 60}",-24910.710257802035,-36111.80232258831,-24682.20179538962,-40947.07393465469,-40806.01879493426,-33491.561421073784,7310.094932311199
13,0.053400278091430664,0.0006592854772555373,0.013401126861572266,0.0004888313657210744,4,50.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 50}",-24824.20207919274,-36164.85040524259,-24850.601999429004,-40508.030489104865,-41149.50863674993,-33499.43872194383,7277.505824965812
14,0.05543651580810547,0.0020793890585646445,0.014396953582763671,0.0011016572319149634,3,80.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 80}",-25357.197816395077,-35876.85577302269,-24263.00075457312,-41791.84899802545,-40344.26290603049,-33526.63324960937,7387.448459516803
15,0.05380215644836426,0.0016007046031736606,0.01275935173034668,0.0003032013831003568,,100.0,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__alpha': 100}",-25517.6776311275,-35589.28696292969,-24162.886252701486,-42314.45205976089,-40246.295347033025,-33566.11965071052,7462.566455667022
16,0.057011079788208005,0.005104783406122328,0.014060020446777344,0.0006821832103304171,2,60.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 60}",-25319.569732335454,-35590.72328534059,-25090.34660392371,-41053.01761213902,-40797.62942421605,-33570.25733159097,7103.402329326133
17,0.057654285430908205,0.004506203773091456,0.013703346252441406,0.0011670815784180562,4,40.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 40}",-24771.128550444842,-36351.61322992599,-25117.087699071864,-40059.31426974068,-41588.26535440446,-33577.48182071757,7252.7613556599945
18,0.05337262153625488,0.0013673363505060053,0.014027261734008789,0.0012878260940627196,3,30.0,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__alpha': 30}",-25038.853043818188,-36336.46878628766,-25296.345683114992,-39648.464430981025,-41632.43761813517,-33590.51391246741,7082.876531054075
19,0.05618343353271484,0.0054302043034373535,0.015301132202148437,0.0025980955921762203,2,50.0,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__alpha': 50}",-25265.897624240635,-35624.56746245627,-25329.241549075974,-40642.494106073296,-41123.33942057524,-33597.108032484284,7044.982592272087
20,0.05598602294921875,0.0027077516202240436,0.013901567459106446,0.0015616606616549863,4,80.0,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__alpha': 80}",-25150.28368371572,-36238.3654487161,-24517.734323523182,-41797.917718169476,-40350.12430440569,-33610.885095706035,7397.50861435161
