rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__subsample,param_rgr__n_estimators,param_rgr__min_child_weight,param_rgr__max_depth,param_rgr__learning_rate,param_rgr__gamma,param_preprocess__categorical__encode__min_frequency,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
1,9.081244277954102,0.14796650138161885,0.06357569694519043,0.004171872363455479,0.8,1000,5,21,0.01,0,3,"{'rgr__subsample': 0.8, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 5, 'rgr__max_depth': 21, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': 3}",-37704.34364061311,-29494.23085310206,-38767.78529206874,-25353.532328901965,-18670.90090199798,-29998.158603336768,7568.68421230041
2,5.061710977554322,0.20206354994220413,0.06023449897766113,0.008199235882556244,0.7,700,5,12,0.01,0,3,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 700, 'rgr__min_child_weight': 5, 'rgr__max_depth': 12, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': 3}",-37116.55023375764,-31008.270911177526,-38789.634820422936,-25877.08205094892,-18921.16307207501,-30342.54021767641,7322.185313454543
3,4.980281782150269,0.04356960244969962,0.05032439231872558,0.001897668044710783,0.6,700,5,13,0.01,100,3,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 700, 'rgr__min_child_weight': 5, 'rgr__max_depth': 13, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': 3}",-37265.00508794635,-31655.116958084687,-38651.13795479101,-26295.47096624701,-19263.78606767401,-30626.10340694861,7174.840716939684
4,4.447976779937744,0.011815410772400498,0.052169513702392575,0.0018394575888556837,0.7,800,5,9,0.01,1,,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 800, 'rgr__min_child_weight': 5, 'rgr__max_depth': 9, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': None}",-36882.46640193238,-30312.201307571693,-40912.74038322854,-25053.414907486906,-20439.59632193603,-30720.08386443111,7481.057877170397
5,2.608495998382568,0.0346336612695156,0.052464866638183595,0.0024579705133465687,0.7,700,5,6,0.01,0,,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 700, 'rgr__min_child_weight': 5, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': None}",-37562.4347513336,-29913.33923424824,-40998.76612808139,-25030.435841205875,-20666.69587974333,-30834.33436692249,7569.641343513719
6,3.964488077163696,0.05936340630536612,0.055134820938110354,0.0022712338015780107,0.6,900,5,7,0.01,0,,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 5, 'rgr__max_depth': 7, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': None}",-38485.289803319174,-29817.06028150584,-40799.25251925817,-24871.382718599718,-20370.759134544493,-30868.748891445477,7796.266242807722
7,3.6772810935974123,0.04315984090853033,0.05519390106201172,0.004696736942031861,0.7,1000,5,6,0.01,1,,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 5, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': None}",-37919.647899505515,-29997.9551366501,-41001.380357782946,-24649.057521089402,-20801.955264248496,-30873.99923585529,7657.263687014289
8,4.788084650039673,0.03164764008304415,0.05580124855041504,0.004950863357216823,0.6,800,5,10,0.01,1,,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 800, 'rgr__min_child_weight': 5, 'rgr__max_depth': 10, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': None}",-38385.2739621841,-30570.07313048316,-40768.715162152075,-25615.4553508074,-20219.552452595377,-31111.81401164442,7685.099388614279
9,4.6085363864898685,0.10875653351727141,0.05415554046630859,0.001758272020463977,0.6,600,5,19,0.01,100,,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 5, 'rgr__max_depth': 19, 'rgr__learning_rate': 0.01, 'rgr__gamma': 100, 'preprocess__categorical__encode__min_frequency': None}",-37969.247954162114,-30707.85568767221,-40427.25861718042,-26298.38232060989,-20645.485878196196,-31209.646091564162,7302.470601984895
10,7.796153354644775,0.10552162095147179,0.06134476661682129,0.004623402336925658,0.6,1000,5,21,0.01,1,,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 5, 'rgr__max_depth': 21, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1, 'preprocess__categorical__encode__min_frequency': None}",-38734.722173217306,-31081.051731342304,-40395.34263362056,-25977.418634789185,-20447.217576857594,-31327.150549965394,7538.665169799944
11,1.843177890777588,0.010975861508541435,0.0530916690826416,0.0023349723849384655,0.7,1000,5,3,0.01,0,3,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 1000, 'rgr__min_child_weight': 5, 'rgr__max_depth': 3, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0, 'preprocess__categorical__encode__min_frequency': 3}",-40874.36748956585,-31316.8188948462,-38067.005814350385,-26124.989503957822,-20808.92222791356,-31438.420786126768,7405.522375577354
