Title,Recommender
Vessels,Buried Treasure
Super Buff HD,Buried Treasure
Dangeresque: The Roomisode Triungulate,Buried Treasure
Voidigo,Buried Treasure
Nuclear Blaze,Buried Treasure
Scarlet Hollow,Buried Treasure
Taiji,Buried Treasure
One Dreamer,Buried Treasure
The Dark Egg,Buried Treasure
Nine Sols,Jackie
Lies of P,Jackie
Dredge,Jackie
Baba is You,Kaleb
Stephen's Sausage Roll,Kaleb
Return of the Obra Dinn,Kaleb
Outward,Nick
Baldur's Gate 3,Nick
Divinity: Original Sin 2,Nick
The Binding Of Isaac: Rebirth,Kaleb
Dark Souls,Yahtzee
Dark Souls: Remastered,Yahtzee
Persona 5,Yahtzee
Persona 5 Royal,Yahtzee
Persona 4 Golden,Yahtzee
Deus Ex,Yahtzee
Subnautica,Yahtzee
Psychonauts,Yahtzee
Psychonauts 2,Yahtzee
Okami HD,Yahtzee
The Talos Principle,Yahtzee
The Talos Principle,EC
The Forgotten City,Yahtzee
BPM: BULLETS PER MINUTE,Yahtzee
SteamWorld Dig 2,Yahtzee
Transistor,Yahtzee
Yakuza: Like a Dragon,Yahtzee
Dredge,Yahtzee
Dredge,AM
Papers Please,Yahtzee
Papers Please,EC
Crypt of the NecroDancer,Yahtzee
Webbed,AM
System Shock 2,Yahtzee
Bug Fables,AM
Taiji,AM
Teardown,AM
Deep Rock Galactic,AM
Laika: Aged Through Blood,AM
The Forgotten City,AM
Chained Echoes,AM
Darkest Dungeon,EC
Darkest Dungeon,AM
BPM: BULLETS PER MINUTE,AM
Pyre,Yahtzee
Pyre,AM
Supraland,AM
Not For Broadcast,AM
Doki Doki Ragnarok,AM
Norco,AM
GRIFTLANDS,AM
How Fish is Made,AM
INSIDE,EC
Nuclear Blaze,AM
APE OUT,AM
Trombone Champ,AM
Terraria,EC
Citizen Sleeper,AM
En Garde!,AM
Mount & Blade: Warband,EC
UNSIGHTED,AM
Hyperbolica,AM
Cities Skylines,EC
SteamWorld Heist,EC
Unpacking,Yahtzee
The Binding of Isaac: Rebirth,Yahtzee
Potionomics,AM
Mundaun,AM
Catherine,AM
SUPERHOT VR,EC
SUPERHOT VR,Sterling
Papers Please,Sterling
What Remains of Edith Finch,Sterling
What Remains of Edith Finch,AM
South Scrimshaw Part One,AM
Dave the Diver,AM
Into the Breach,AM
Ultrakill,AM
Chants of Sennaar,AM
Subnautica,AM
Lucy Dreaming,AM
Lucy Dreaming,BR
Pseudoregalia,AM
Jusant,AM
CTRL ALT EGO,AM
Wildermyth,AM
Marvel's Spider-Man: Miles Morales,AM
Terra Nil,AM
Genesis Noir,AM
Persona 5 Strikers,Yahtzee
Stray,Jackie
Tokyo Jungle,EC
System Shock 2,EC
Red Dead Redemption 2,Brandon
Sid Meier's Civilization VI,Brandon
Sid Meier's Civilization V,Brandon
Sid Meier's Civilization IV,Brandon
Hollow Knight,Jackie
Bloodborne,Jackie
Death's Door,Jackie
Before Your Eyes,AM
Outer Wilds,Kaleb
Outer Wilds,AM
Outer Wilds,Yahtzee
Roboquest,AM
Silicon Dreams,AM
Metro Exodus: Enhanced Edition,Nick
Stellaris,Tyler
Path of Exile 2,Fabio
Baldur's Gate 3,Fabio
Cryptmaster,AM
Cryptmaster,Yahtzee
Pacific Drive,AM
Pacific Drive,Yahtzee
Yellow Taxi Goes Vroom,AM
Lorelei and the Laser Eyes,AM
Tactical Breach Wizards,AM
Metaphor: ReFantazio,Yahtzee
Divinity: Original Sin 2,Fabio
Disco Elysium,Kaleb
Hades,Jackie
Prince Of Persia The Lost Crown,Kaleb
Final Fantasy VII,Kaleb
Dragon Quest III: Seeds of Salvation,Kaleb
Children of the Sun,Yahtzee
TUNIC,Jackie
Clair Obscur: Expedition 33,Yahtzee
The First Berserker: Khazan,Jackie
Promise Mascot Agency,Yahtzee
Clair Obscur: Expedition 33,Jackie
Fallout: New Vegas,hbomberguy
Dark Souls,hbomberguy
Dark Souls II,hbomberguy
Bloodborne,hbomberguy
Darkest Dungeon,hbomberguy
Monster Hunter Wilds,fightincowboy
Avowed,fightincowboy
Ender Magnolia: Bloom in the Mist,fightincowboy
Warhammer 40k: Space Marine 2,fightincowboy
Elden Ring,fightincowboy
Elden Ring: Shadow of the Erdtree,fightincowboy
Stellar Blade,fightincowboy
Black Myth: Wukong,fightincowboy
Dragon's Dogma 2,fightincowboy
Prince of Persia: The Lost Crown,fightincowboy
Lies of P,fightincowboy
Armored Core VI: Fires of Rubicon,fightincowboy
Star Wars Jedi: Survivor,fightincowboy
God of War: Ragnarok,fightincowboy
Metal Gear Rising: Revengeance,fightincowboy
Ghost of Tsushima,fightincowboy
Ghost of Tsushima,Jackie
Sekiro: Shadows Die Twice,fightincowboy
Marvel's Spider-Man,fightincowboy
Tainted Grail: The Fall of Avalon,fightincowboy
Thumper,hbomberguy
