Title,glicko,raw_score,replay_score,last_played,last_played_weight,release_date,genre_metacritic,developer_metacritic
Elden Ring,1977.968894,1967.4231411867647,0.006730005755171598,2024-11-18,0.0024099046607019125,2/25/2022,Action RPG,From Software
Bloodborne,1879.7718036365504,1924.6644207677557,1.3740670198166638,2023-01-01,0.5392303796685092,3/24/2015,Action RPG,From Software
Hollow Knight,1861.9024453174068,1892.2742141776534,2.44849128966579,2021-03-26,0.9974554272891634,2/24/2017,Metroidvania,Team Cherry
Elden Ring: Shadow of the Erdtree,1977.968894,1861.7364203812867,0.006223080785686322,2024-11-18,0.0024099046607019125,6/21/2024,Action RPG,From Software
Sekiro: Shadows Die Twice,1989.05406,1850.6058297026448,0.017887478315232262,2024-07-23,0.0069381672302057835,3/22/2019,Action Adventure,From Software
Dark Souls,1824.7464125990405,1837.004413809478,0.0024086504237553078,2025-02-18,0.001054371729030141,9/22/2011,Action RPG,From Software
Baldur's Gate 3,1818.9165309944733,1725.1203267079711,0.19013557936677825,2023-09-29,0.09264529506123902,8/3/2023,Western RPG,Larian Studios Games
Dark Souls III,1652.3677872615733,1676.480625685461,0.5872603925044989,2023-03-29,0.3484736373551546,3/24/2016,Action RPG,From Software
Outer Wilds,1741.0624791666985,1673.016706631987,0.34770605334756355,2023-06-28,0.19081004629090148,5/28/2019,Open-World Action,"Mobius Digital, LLC"
Portal 2,1684.7196106060155,1660.4690153944973,1.451425862457061,2022-07-09,0.8508450991646639,4/18/2011,FPS,Valve Software
Hades,1709.0229989348854,1658.6814415195038,0.372798853353667,2023-06-12,0.21403793218329767,9/17/2020,Roguelike,Supergiant Games
Disco Elysium,1778.7049342463777,1658.4224639299084,0.054050732054407136,2024-02-12,0.029148918514784898,10/15/2019,Western RPG,ZA/UM
Mass Effect 2,1768.265101417251,1654.814617519469,1.8179169984741668,2021-07-12,0.993302126066983,5/14/2021,Western RPG,BioWare
Star Wars: Knights of the Old Republic,1705.9805295797846,1617.9376289182671,1.6554831028260883,2020-05-06,0.9998618793322963,7/15/2003,Western RPG,BioWare
Fallout: New Vegas,1746.723972566777,1610.4472511122979,0.02290100681879599,2024-05-10,0.013416597855337619,10/19/2010,Western RPG,Obsidian Entertainment
Star Wars: Knights of the Old Republic II - The Sith Lords,1735.20401470667,1608.8648868748926,1.6848430993049763,2020-05-05,0.9998631166717681,12/6/2004,Western RPG,Obsidian Entertainment
Portal,1621.2733241409671,1608.032850855483,0.8281208119897495,2022-12-26,0.5526156640487058,1/10/2017,FPS,Valve Software
Lies of P,1533.7943811977495,1600.6761739412623,0.06688678146023108,2023-12-12,0.04984271063132498,9/18/2023,Action Adventure,Round 8 Studio of NEOWIZ
Dark Souls: Remastered,1824.7464125990405,1599.7977662937994,0.0019108629002709907,2025-02-18,0.001054371729030141,5/23/2018,Action RPG,QLOC
Super Metroid,1803.6924564563933,1595.7781334278163,1.4172455527245622,2022-08-17,0.8006313085938478,3/19/1994,Metroidvania,Nintendo
Chrono Trigger,1762.9866140922325,1594.1763471793797,1.700920416631229,2009-01-01,1.0,2/27/2018,JRPG,TOSE
Persona 5 Royal,1648.0141894997291,1579.0786861413326,0.8855134233838404,2022-12-06,0.5965823045966695,10/31/2019,JRPG,Atlus
Halo 3,1660.916125064601,1576.7708044335752,1.5006525424027288,2014-01-01,0.9999999999998788,9/25/2007,FPS,Bungie
Persona 5,1648.0141894997291,1564.8127341657535,0.8685741598661064,2022-12-06,0.5965823045966695,2/20/2020,JRPG,Atlus
Metroid Prime,1602.512468638449,1560.368031796169,0.7404909620392099,2023-01-01,0.5392303796685092,11/17/2002,FPS,Retro Studios
Super Smash Bros. Melee,1695.801974056414,1560.2207986967635,0.0,2019-01-01,0.9999983359337208,11/21/2001,2D Fighting,HAL Labs
