Name, Rating, Release
The Binding of Isaac: Rebirth,0.9639,11/01/14
DAVE THE DIVER,0.958,06/01/23
Divinity: Original Sin 2 - Definitive Edition,0.9467,09/01/17
MULLET MADJACK,0.943,05/01/24
DREDGE,0.9388,03/01/23
It Takes Two,0.9385,03/01/21
A Way Out,0.8609,03/01/18
RimWorld,0.9678,10/01/18
Half-Life: Alyx,0.9677,03/01/20
Slay the Spire,0.9656,01/01/19
Resident Evil 4,0.9633,03/01/23
Deep Rock Galactic,0.9622,05/01/20
Stray,0.9596,07/01/22
Chants of Sennaar,0.9585,09/01/23
OMORI,0.9571,12/01/20
Undertale,0.9557,09/01/15
Inscryption,0.9554,10/01/21
Cuphead,0.9509,09/01/17
Slay the Princess — The Pristine Cut,0.949,10/01/23
Castle Crashers®,0.9478,09/01/12
SIGNALIS,0.9452,10/01/22
Devil May Cry 5,0.9451,03/01/19
Sekiro™: Shadows Die Twice - GOTY Edition,0.9428,03/01/19
Teardown,0.9413,04/01/22
Outer Wilds,0.9413,06/01/20
ANIMAL WELL,0.938,05/01/24
Untitled Goose Game,0.935,09/01/20
Hades II,0.9328,05/01/24
Risk of Rain 2,0.924,08/01/20
Another Crab's Treasure,0.9234,04/01/24
Backyard Baseball '97,0.919,10/01/24
Marvel’s Spider-Man: Miles Morales,0.9148,11/01/22
Halo: The Master Chief Collection,0.9142,12/01/19
Fate/stay night REMASTERED,0.9131,08/01/24
Unpacking,0.9115,11/01/21
Lies of P,0.9058,09/01/23
ARMORED CORE™ VI FIRES OF RUBICON™,0.8983,08/01/23
TUNIC,0.8944,03/01/22
Mass Effect™ Legendary Edition,0.8941,05/01/21
"Warhammer 40,000: Boltgun",0.8884,05/01/23
Ratchet & Clank: Rift Apart,0.8767,07/01/23
Control Ultimate Edition,0.8598,08/01/20
Sid Meier’s Civilization® VI,0.8587,10/01/16
NieR:Automata™,0.858,03/01/17
Portal 2,0.9771,04/01/11
Vampire Survivors,0.9734,10/01/22
Terraria,0.9684,05/01/11
Left 4 Dead 2,0.9677,11/01/09
Balatro,0.9674,02/01/24
ULTRAKILL,0.9651,09/01/20
Hollow Knight,0.9611,02/01/17
Celeste,0.9604,01/01/18
Subnautica,0.9591,01/01/18
Dead Cells,0.9585,08/01/18
The Witcher 3: Wild Hunt,0.9533,05/01/15
PowerWash Simulator,0.9507,07/01/22
Don't Starve Together,0.9469,04/01/16
Roboquest,0.932,11/01/23
Disco Elysium - The Final Cut,0.9189,10/01/19
DOOM Eternal,0.9006,03/01/20
Middle-earth™: Shadow of War™,0.8733,10/01/17
Batman™: Arkham Knight,0.8707,06/01/15
Sea of Stars,0.8688,08/01/23
DiRT Rally 2.0,0.8649,02/01/19
Borderlands 3,0.8414,03/01/20
XCOM® 2,0.8342,02/01/16
Shadow of the Tomb Raider: Definitive Edition,0.8282,09/01/18
South Park™: The Fractured But Whole™,0.8281,10/01/17
Kingdom Come: Deliverance,0.8255,02/01/18
MONSTER HUNTER RISE,0.8044,01/01/22
Marvel's Midnight Suns,0.798,12/01/22
"Warhammer 40,000: Gladius - Relics of War",0.7935,07/01/18
STAR WARS Jedi: Survivor™,0.6706,04/01/23
Dragon's Dogma 2,0.6011,03/01/24
Baldur's Gate 3,0.9599,08/01/23
ELDEN RING,0.921,02/01/22
Red Dead Redemption 2,0.911,12/01/19
Metaphor: ReFantazio,0.8993,10/01/24
HoloCure - Save the Fans!,0.97,08/01/23
Doki Doki Literature Club!,0.9531,09/01/17
Eternal Senia,0.9474,06/01/15
West of Loathing,0.9472,08/01/17
Cruelty Squad,0.9455,06/01/21
Mark of the Ninja,0.9444,—
Nightmare Kart,0.9401,06/01/24
"South Scrimshaw, Part One",0.9353,06/01/23
"Warhammer® 40,000: Dawn of War® - Dark Crusade",0.9351,10/01/06
"Warhammer® 40,000: Dawn of War® - Soulstorm",0.9295,03/01/08
Voidigo,0.9293,06/01/23
Ori and the Blind Forest,0.9293,03/01/15
planetarian ~the reverie of a little planet~,0.9278,11/01/04
Everhood,0.9273,03/01/21
Supraland,0.9249,04/01/19
Skyrim Script Extender (SKSE),0.9233,08/01/15
How Fish Is Made,0.9206,01/01/22
Mass Effect 2 (2010 Edition),0.9166,—
Peggle Extreme,0.9014,09/01/07
DARK SOULS™: Prepare To Die™ Edition,0.9006,08/01/12
GhostrunnerDaily Deal,0.8992,10/01/20
Nuclear Blaze,0.897,10/01/21
Okami HD,0.8939,12/01/17
DRAGON BALL: Sparking! ZERO,0.8904,10/01/24
Crusader Kings II,0.888,02/01/12
RollerCoaster Tycoon® 3: Platinum,0.8848,10/01/06
Half-Life 2: Deathmatch,0.8841,11/01/04
Axiom Verge,0.8798,05/01/15
"Warhammer® 40,000: Dawn of War® II Chaos Rising",0.8752,03/01/10
Ctrl Alt Ego,0.8751,07/01/22
Rollerdrome,0.874,08/01/22
Out of the Park Baseball 21,0.8735,03/01/20
Out of the Park Baseball 20,0.8706,03/01/19
Darksiders™,0.8702,09/01/10
Rocket League®,0.8687,07/01/15
Grand Theft Auto V,0.8663,04/01/15
Counter-Strike 2,0.8661,08/01/12
"Haiku, the Robot",0.8621,04/01/22
Out of the Park Baseball 17,0.854,03/01/16
"Warhammer® 40,000: Dawn of War® – Winter Assault",0.8511,01/01/06
Beyond Good and Evil™,0.8303,11/01/03
Awesomenauts - the 2D moba,0.8301,08/01/12
Cyberpunk 2077,0.8278,12/01/20
Hellblade: Senua's Sacrifice VR Edition,0.8141,07/01/18
Dragon Age™: The Veilguard,0.7082,10/01/24
A Short Hike,0.9661,07/01/19
A Hat in Time,0.9604,10/01/17
South Park™: The Stick of Truth™,0.9588,03/01/14
Neon White,0.9566,06/01/22
The Walking Dead,0.9562,04/01/12
Persona 4 Golden,0.9544,06/01/20
VA-11 Hall-A: Cyberpunk Bartender Action,0.9544,06/01/16
Before Your Eyes,0.9528,04/01/21
Persona 5 Royal,0.9517,10/01/22
Trombone Champ,0.9492,09/01/22
